id,Title,開催年度,主催,開催時間,期間_date,期間_date_to,単日/複数日_date
2473,南千住散歩（2016年11月6日）,2016,東京都江戸東京博物館,20161106,"a:1:{s:4:""time"";b:0;}",,
2477,"COMMUNICATION BOOTH ストリートダンスを教育や社会奉仕活動に取り入れている団体を紹介",2016,アーツカウンシル東京|国際交流基金アジアセンター|株式会社パルコ,20161120,"a:1:{s:4:""time"";b:0;}",,
2478,歌舞伎の化粧をしてみよう（大人向け）（2016年11月12日）,2016,東京都江戸東京博物館,20161112,"a:1:{s:4:""time"";b:0;}",,
2479,クリスマスミニリースをつくろう（2016年11月12日）,2016,東京都江戸東京博物館,20161112,"a:1:{s:4:""time"";b:0;}",,
2480,紙独楽を作ろう（2016年11月19日）,2016,東京都江戸東京博物館,20161119,"a:1:{s:4:""time"";b:0;}",,
2481,万華鏡で遊ぼう（2016年11月26日）,2016,東京都江戸東京博物館,20161126,"a:1:{s:4:""time"";b:0;}",,
2483,ぽち袋を摺ろう（2016年11月27日）,2016,東京都江戸東京博物館,20161127,"a:1:{s:4:""time"";b:0;}",,
2484,師走茶席（2016年12月3日）,2016,東京都江戸東京博物館,20161203,"a:1:{s:4:""time"";b:0;}",,
2485,和算パズル・反古紙で小物を作ろう。（2016年12月3日）,2016,東京都江戸東京博物館,20161203,"a:1:{s:4:""time"";b:0;}",,
2486,"【特別展】  ティツィアーノとヴェネツィア派展",2017,東京都美術館|NHK|NHKプロモーション|読売新聞社,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""09:30:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:24:""金曜日は9:30～20:00"";}}}",20170121,20170402
2487,和算パズル・反古紙で小物を作ろう（2017年1月7日）,2016,東京都江戸東京博物館,20170107,"a:1:{s:4:""time"";b:0;}",,
2489,扇子遊びをしましょう（2017年1月21日）,2016,東京都江戸東京博物館,20170121,"a:1:{s:4:""time"";b:0;}",,
2490,歌舞伎の鳴り物をならしてみよう（2017年1月21日）,2016,東京都江戸東京博物館,20170121,"a:1:{s:4:""time"";b:0;}",,
