Title,id,WEBサイトのアドレス,開催年度,主催,共催,協賛,協力,後援,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数
ベッド＆メイキングス　第５回公演「あたらしいエクスプロージョン」,1469,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13354/,2016,ベッド＆メイキングス,,,,,,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
プーク人形劇場企画　欧州相互国際交流事業,1470,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13291/,2016,（有）プーク人形劇場,,,,,5,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""691"";s:6:""備考"";s:0:"""";}"
"Low Fat Art Fest 2016 - Antigone/border-line",1474,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13182/,2016,shelf,,,,,5,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""54"";s:6:""備考"";s:0:"""";}"
鳥公園#13「ヨブ呼んでるよ」,1475,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13241/,2016,鳥公園,,,,,10,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""584"";s:6:""備考"";s:0:"""";}"
"TURN in BRAZIL帰国報告",1478,https://www.artscouncil-tokyo.jp/ja/events/14278/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,6,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""5758"";s:6:""備考"";s:0:"""";}"
"Baobab 第10回本公演ツアー『靴屑の塔』",1479,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13432/,2016,Baobab,,,,,5,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""540"";s:6:""備考"";s:0:"""";}"
"ジャグリング＆音楽集団 ながめくらしつ シアタートラム新作公演『心を置いて飛んでゆく』",1482,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13321/,2016,ながめくらしつ,,,,,4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""616"";s:6:""備考"";s:0:"""";}"
"OrganWorks 主催公演「Reason to Believe」",1484,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13079/,2016,OrganWorks,,,,,3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""533"";s:6:""備考"";s:0:"""";}"
シビウ国際演劇祭　新作ダンス公演（仮）,1485,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/29448/,2016,黒須育海+,,,,,,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""210"";s:6:""備考"";s:0:"""";}"
"ニブロール 「リアルリアリティ」IKJ InternationalFestival 公演",1486,https://www.artscouncil-tokyo.jp/ja/what-we-do/support/program/13317/,2016,ニブロール,,,,,,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""165"";s:6:""備考"";s:0:"""";}"
五十嵐靖晃,1500,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/leading/turn/11511/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,194,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
池田晶紀、川瀬一絵,1541,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/leading/turn/11511/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,194,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
大西健太郎,1545,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/leading/turn/11511/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,194,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
角銅真実,1547,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/leading/turn/11511/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,194,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
高本敦基,1549,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/leading/turn/11511/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,194,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
永岡大輔,1551,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/leading/turn/11511/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,194,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
山縣良和,1556,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/leading/turn/11511/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,194,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
山城大督,1558,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/leading/turn/11511/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,194,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"James Jack",1560,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/leading/turn/11511/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,194,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"Sam Stocker",1562,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/leading/turn/11511/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,194,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"大崎晴地、現代芸術活動チーム目【め】、富塚絵美、森山開次、EAT & ART TARO",1563,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/leading/turn/11511/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,194,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
中間報告会,1564,https://www.artscouncil-tokyo.jp/uploads/2016/12/H28_press_TURN-FES1_1214.pdf,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""130"";s:6:""備考"";s:0:"""";}"
エキシビション,1568,https://www.artscouncil-tokyo.jp/ja/events/16357/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,東京都美術館×東京藝術大学「とびらプロジェクト」,,3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1290"";s:6:""備考"";s:0:"""";}"
カンファレンス,1569,https://www.artscouncil-tokyo.jp/ja/events/16357/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,東京都美術館×東京藝術大学「とびらプロジェクト」,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"「よみがえれ！ シーボルトの日本博物館」展",1572,http://www.edo-tokyo-museum.or.jp/s-exhibition/special/10311/特別展「よみがえれ！%E3%80%80シーボルトの日本博物館/,2016,東京都江戸東京博物館|朝日新聞社,"人間文化研究機構 国立歴史民俗博物館",,ミュンヘン五大陸博物館|ブランデンシュタイン＝ツェッペリン家|全日本空輸株式会社,日本赤十字社,43,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:5:""40456"";s:6:""備考"";s:0:"""";}"
"TURN フェス・サポーター",1573,https://www.artscouncil-tokyo.jp/ja/events/16357/,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,東京都美術館×東京藝術大学「とびらプロジェクト」,,9,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""98"";s:6:""備考"";s:0:"""";}"
"TURN センター構想会議",1576,,2016,"東京都|アーツカウンシル東京|特定非営利活動法人Art’s Embrace",,,,,194,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
「戦国時代」展,1578,http://www.edo-tokyo-museum.or.jp/s-exhibition/special/10313/特別展「戦国時代展－a-century-of-dreams－」/,2016,東京都江戸東京博物館|読売新聞社|日本テレビ放送網|BS日テレ,,日本写真印刷,,,56,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:6:""140134"";s:6:""備考"";s:0:"""";}"
"JR 大人の休日倶楽部貸切鑑賞会",1579,,2016,東京都江戸東京博物館|読売新聞社|日本テレビ放送網|BS日テレ,,日本写真印刷,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:3:""578"";}"
講演会・パネルディスカッション「いざ！戦国時代展へ!!」,1580,,2016,東京都江戸東京博物館|読売新聞社|日本テレビ放送網|BS日テレ,,日本写真印刷,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:3:""165"";}"
「江戸と北京-18世紀の都市と暮らし」展,1582,http://www.edo-tokyo-museum.or.jp/s-exhibition/special/10315/江戸と北京－18世紀の都市と暮らし－-2/,2016,東京都江戸東京博物館|朝日新聞社|中国文物交流中心|故宮博物院|首都博物館,,,黄山美術社|全日本空輸株式会社,外務省|中国大使館|中国人民対外友好協会,36,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:5:""32720"";s:6:""備考"";s:0:"""";}"
ブロガー特別内覧会,1583,,2016,東京都江戸東京博物館|朝日新聞社|中国文物交流中心|故宮博物院|首都博物館,,,黄山美術社|全日本空輸株式会社,外務省|中国大使館|中国人民対外友好協会,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:2:""83"";}"
プレ古文書講座『天保改革町触史料』を読む②,1585,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""90"";s:6:""備考"";s:0:"""";}"
東條琴臺と江戸の学問②東條琴臺と江戸文人社会,1586,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""55"";s:6:""備考"";s:0:"""";}"
長崎学連携講座,1587,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""88"";s:6:""備考"";s:0:"""";}"
江戸町人の食事情②日常の食と素材,1588,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""223"";s:6:""備考"";s:0:"""";}"
江戸のシェア③自治組織……「町」,1589,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""205"";s:6:""備考"";s:0:"""";}"
特別展「よみがえれ！シーボルトの日本博物館」関連講座①シーボルト・コレクションにおける絵画作品,1590,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""115"";s:6:""備考"";s:0:"""";}"
浮世絵師列伝Ⅵ①西川祐信―上方絵の第一人者―,1591,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""128"";s:6:""備考"";s:0:"""";}"
江戸東京たてもの園セミナー「建築博物館を楽しもう！」①国立近現代建築資料館―その役割と楽しみ方―,1592,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""62"";s:6:""備考"";s:0:"""";}"
特別展「よみがえれ！シーボルトの日本博物館」関連講座②シーボルトのコレクションと地図,1593,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""121"";s:6:""備考"";s:0:"""";}"
特別展「よみがえれ！シーボルトの日本博物館」関連講座③シーボルト・コレクションにおける漆工芸,1594,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""92"";s:6:""備考"";s:0:"""";}"
江戸名所のことばとかたち①富士筑波のことばとかたち―江戸の境界―,1595,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""135"";s:6:""備考"";s:0:"""";}"
特別展「よみがえれ！シーボルトの日本博物館」関連講座④再来日時の日記にみえるシーボルト・コレクション,1596,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""100"";s:6:""備考"";s:0:"""";}"
浮世絵師列伝Ⅵ②流光斎如圭―上方役者絵の元祖―,1597,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""108"";s:6:""備考"";s:0:"""";}"
江戸東京たてもの園セミナー「建築博物館を楽しもう！」②海外の事例に学ぶ―イギリス、アメリカの建築博物館事情―,1598,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""57"";s:6:""備考"";s:0:"""";}"
日光社参と江戸の人材派遣業①,1599,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""112"";s:6:""備考"";s:0:"""";}"
特別展「よみがえれ！シーボルトの日本博物館」関連講座⑤書簡が語るシーボルト像,1600,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""89"";s:6:""備考"";s:0:"""";}"
特別展「よみがえれ！シーボルトの日本博物館」関連講座⑥シーボルトの日本博物館構想と川原慶賀筆『人物画帳』,1601,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""113"";s:6:""備考"";s:0:"""";}"
江戸東京たてもの園セミナー「建築博物館を楽しもう！」③明治村からたてもの園へ―ライバルへのメッセージ―,1602,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""81"";s:6:""備考"";s:0:"""";}"
日光社参と江戸の人材派遣業②,1604,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""106"";s:6:""備考"";s:0:"""";}"
"企画展「市民からのおくりもの2016」関連講座 将軍家の婚礼と婚礼道具―姿見鏡が映す大奥の世界",1605,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""37"";s:6:""備考"";s:0:"""";}"
浮世絵師列伝Ⅵ③五雲亭貞秀―空飛ぶ浮世絵師―,1606,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""137"";s:6:""備考"";s:0:"""";}"
江戸名所のことばとかたち②日本橋のことばとかたち―江戸の中央―,1607,,2016,東京都江戸東京博物館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""129"";s:6:""備考"";s:0:"""";}"
